catalogNumber,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,dateIdentified,country,stateProvince,verbatimLocality,AnnotatorLocality
JHFN1-6-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Prairie dog,Prairie Dog,'1905-07-31,United States of America,Colo,Estes Park,"Estes Park, Colorado"
JHFN1-6-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Aspens,Populus tremuloides,'1905-07-31,United States of America,Colo,Woodland Park,"Woodland Park, Colorado"
JHFN1-7-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Spruces,Picea,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Prairie dog,Prairie Dog,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpie,Magpies,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Red Gilia,Ipomopsis_aggregata,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Cleome,Cleome serrulata,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Potentilla fruticosa,Potentilla fruticosa,'1905-07-31,United States of America,Colo,Boulder,"Boulder, Colorado"
JHFN1-7-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Lark buntings,Calamospiza melanocorys,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mt. Bluebirds,Sialia currucoides,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,cliff swallows,Petrochelidon pyrrhonota,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,barn swallows,Hirundo rustica,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Brewer blackbird,Euphagus cyanocephalus,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,lark sparrows,Chondestes grammacus,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-M,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Flickers,Colaptes auratus,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-N,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Eng sparrows,Passer domesticus,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-7-O,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Prairie dogs,Prairie Dog,'1905-07-31,United States of America,Colo,Florissant,"Florissant, Colorado"
JHFN1-9-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,flickers,Colaptes auratus,'1905-08-02,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-9-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,BrewerÌ¢åÛåªs blackbirds,Euphagus cyanocephalus,'1905-08-02,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,western,Sialia mexicana,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chestnut backed,Sialia mexicana bairdi,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mountain bluebirds,Sialia currucoides,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Marsh Hawk,Circus cyaneus,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Say Phoebe,Sayornis saya,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Sv. g. swallow, Tachycineta thalassina,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,long crested jay, Cyanocitta stelleri,'1905-08-03,United States of America,Colorado,"Florissant, Colorado","Florissant, Colorado"
JHFN1-11-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,caddis, Trichoptera,'1905-08-03,United States of America,Colorado,Lake George,"Lake George, Colorado"
JHFN1-11-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Limnaea, Lymnaea,'1905-08-03,United States of America,Colorado,Lake George,"Lake George, Colorado"
JHFN1-11-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa, Physa,'1905-08-03,United States of America,Colorado,Twin Creek,"Twin Creek, Colorado"
JHFN1-11-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,P. integra,Physella_acuta,'1905-08-03,United States of America,Colorado,Twin Creek,"Twin Creek, Colorado"
JHFN1-11-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Limnaea, Lymnaea,'1905-08-03,United States of America,Colorado,Twin Creek,"Twin Creek, Colorado"
JHFN1-12-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Limnaea,Limnaea,'1905-08-03,United States of America,Colorado,Twin Creek,"Twin Creek, Colorado"
JHFN1-12-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Physa,Physa,'1905-08-03,United States of America,Colorado,Twin Creek,"Twin Creek, Colorado"
JHFN1-14-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,kingfisher,kingfisher,'1905-08-03,United States of America,Colorado,South Platte River,South Platte River
JHFN1-14-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,bat,bat,'1905-08-03,United States of America,Colorado,South Platte River,South Platte River
JHFN1-15-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,redwing blackbird,Agelaius phoeniceus,'1905-08-04,United States of America,Colorado,South Platte River,South Platte River
JHFN1-15-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Brewers blackbird,Euphagus cyanocephalus,'1905-08-04,United States of America,Colorado,South Platte River,South Platte River
JHFN1-15-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadee,chickadee,'1905-08-04,United States of America,Colorado,South Platte River,South Platte River
JHFN1-16-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,insect,insect,'1905-08-04,United States of America,Colorado,South Platte River,South Platte River
JHFN1-17-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,sparrow hawk,sparrow hawk,'1905-08-05,United States of America,Colorado,South Platte River,South Platte River
JHFN1-20-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,night hawks,nighthawk,'1905-08-06,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-20-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,insect,insect,'1905-08-07,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-21-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mourning doves,Zenaida macroura,'1905-08-07,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-21-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,house wrens,Troglodytes aedon,'1905-08-07,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-21-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Robins,Turdus migratorius,'1905-08-08,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-21-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadow lark,meadowlark,'1905-08-08,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-22-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,grayheaded juncos,Junco hyemalis caniceps,'1905-08-08,United States of America,Colorado,Crystal Mt.,"Crystal Peak, Teller, CO"
JHFN1-27-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,phoebe,Sayornis phoebe,'1905-08-29,United States of America,Colorado,Silver Lake,Silver Lake
JHFN1-27-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pisidium abditum,Pisidium,'1905-08-29,United States of America,Colorado,Silver Lake,Silver Lake
JHFN1-29-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Brewer Sparrow,Spizella breweri,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,long crested jay,Cyanocitta stelleri,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Clark Crows,Nucifraga columbiana,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Rocky Mt. jays,Perisoreus canadensis,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadees,Poecile,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,juncos,Junco,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mt. Bluebirds,Sialia currucoides,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-29-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,flicker,Colaptes,'1905-08-29,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-32-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mountain sheep,mountain sheep,'1905-08-30,United States of America,Colorado,glacier,Arapaho Glacier
JHFN1-33-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,ClarkÌ¢åÛåªs Crow,Nucifraga columbiana,'1905-08-30,United States of America,Colorado,The Saddle,"The Saddle, Colorado"
JHFN1-33-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Rocky Mt jay,Cyanocitta stelleri,'1905-08-30,United States of America,Colorado,The Saddle,"The Saddle, Colorado"
JHFN1-33-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadees,chickadee,'1905-08-30,United States of America,Colorado,The Saddle,"The Saddle, Colorado"
JHFN1-33-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,juncos,junco,'1905-08-30,United States of America,Colorado,The Saddle,"The Saddle, Colorado"
JHFN1-33-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pipits,Anthus,'1905-08-30,United States of America,Colorado,High Fall,"High Fall, Colorado"
JHFN1-33-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Leucostictes,Leucostictes,'1905-08-30,United States of America,Colorado,Saddle,"The Saddle, Colorado"
JHFN1-33-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,hawks,hawk,'1905-08-30,United States of America,Colorado,Saddle,"The Saddle, Colorado"
JHFN1-33-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pikas,Ochotona princeps,'1905-08-30,United States of America,Colorado,Saddle,"The Saddle, Colorado"
JHFN1-34-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,myxomicetes,myxomycete,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Caddis,Caddis,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,water beetle,water beetle,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,caddis,caddis,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Caddis,Caddis,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,spruce,Picea,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,chickadee,chickadee,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mountain chickadee,mountain chickadee,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-34-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,willow,Salix,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-35-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,huckleberry,Gaylussacia,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-35-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,birch,Betula,'1905-08-31,United States of America,Colorado,Glacier,Arapaho Glacier
JHFN1-36-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pipits,pipit,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pisidium,Pisidium,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,juncos,junco,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,warblers,warbler,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,sandpiper,sandpiper,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,junco,junco,'1905-09-01,United States of America,Colorado,North Lake,North Lake
JHFN1-37-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,raspberries,Rubus,'1905-09-02,United States of America,Colorado,Silver lake,Silver Lake
JHFN1-38-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Douglas ? squirrel,Sciurrus,'1905-09-02,United States of America,Colorado,Silver Lake,"Silver Lake, Colorado"
JHFN1-38-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,merlin,Falco columbarius,'1905-09-02,United States of America,Colorado,Silver Lake,"Silver Lake, Colorado"
JHFN1-38-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,white crowned sparrows,Zonotrichia leucophrys,'1905-09-02,United States of America,Colorado,Silver Lake,"Silver Lake, Colorado"
JHFN1-38-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Audubon warbler,Dendroica coronata auduboni,'1905-09-02,United States of America,Colorado,Silver Lake,"Silver Lake, Colorado"
JHFN1-38-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,water beetles,water beetle,'1905-09-02,United States of America,Colorado,Island Lake Dam,"Island Lake Dam, Colorado"
JHFN1-38-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,leaches,leech,'1905-09-02,United States of America,Colorado,Island Lake Dam,"Island Lake Dam, Colorado"
JHFN1-38-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,hawk,hawk,'1905-09-02,United States of America,Colorado,Island Lake Dam,"Island Lake Dam, Colorado"
JHFN1-38-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,flickers,flicker,'1905-09-02,United States of America,Colorado,Island Lake Dam,"Island Lake Dam, Colorado"
JHFN1-38-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,warblers,warbler,'1905-09-02,United States of America,Colorado,Island Lake Dam,"Island Lake Dam, Colorado"
JHFN1-39-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Sphagnum,Sphagnum,'1905-09-02,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-39-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Sphagnum,Sphagnum,'1905-09-02,United States of America,Colorado,Island lake,"Island Lake, Colorado"
JHFN1-39-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,butterflies,butterfly,'1905-09-03,United States of America,Colorado,Goose Lake dam,Goose Lake Dam
JHFN1-39-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,moths,moth,'1905-09-03,United States of America,Colorado,Goose Lake dam,Goose Lake Dam
JHFN1-40-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Phyllopods,Phyllopods,'1905-09-03,United States of America,Colorado,Goose Lake dam,Goose Lake Dam
JHFN1-40-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pisidium,Pisidium,'1905-09-03,United States of America,Colorado,Goose Lake dam,Goose Lake Dam
JHFN1-43-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Audubon,Dendroica coronata auduboni,'1905-09-06,United States of America,Colorado,Silver Lake Siding,"Silver Lake, Colorado"
JHFN1-43-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Myrtle warbler,Dendroica coronata coronata,'1905-09-06,United States of America,Colorado,Silver Lake Siding,"Silver Lake, Colorado"
JHFN1-43-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,robins,Turdus migratorius,'1905-09-06,United States of America,Colorado,Silver Lake Siding,"Silver Lake, Colorado"
JHFN1-47-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pupa,Pupa,'1906-06-07,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-47-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Vallonia,Vallonia,'1906-06-07,United States of America,Colorado,Boulder,"Boulder, Colorado"
JHFN1-48-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,redwinged blackbirds,redwinged blackbird,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,robins,Turdus migratorius,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,lark buntings,Calamospiza melanocorys,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,lark sparrows,Chondestes grammacus,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,killdeer,Charadrius vociferus,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,mourning doves,Zenaida macroura,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,cliff swallows,Petrochelidon pyrrhonota,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,yellow warbler,Dendroica aestiva,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,magpie,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlarks,meadowlark,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-K,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,vesper sparrows,Pooecetes gramineus,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-L,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,wren sp.,wren,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-M,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,kingfisher,kingfisher,'1906-06-07,United States of America,Colorado,PikeÌ¢åÛåªs Peak,PikeÌ¢åÛåªs Peak
JHFN1-48-N,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,barn swallows,Hirundo rustica,'1906-06-07,United States of America,Colorado,St. Vrain,St. Vrain Creek
JHFN1-48-O,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,kingbird,kingbird,'1906-06-07,United States of America,Colorado,St. Vrain,St. Vrain Creek
JHFN1-49-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Zonitoidea arboreans,Zonitoidea arboreans,'1906-06-08,United States of America,Colorado,Lyons,"Lyons, Colorado"
JHFN1-49-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,poplar,Populus,'1906-06-08,United States of America,Colorado,Lyons,"Lyons, Colorado"
JHFN1-49-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Vallonia sp.,Vallonia,'1906-06-08,United States of America,Colorado,Lyons,"Lyons, Colorado"
JHFN1-49-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Oreohelix strigosa,Oreohelix strigosa,'1906-06-08,United States of America,Colorado,Lyons,"Lyons, Colorado"
JHFN1-49-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,O. albofaciata,Oreohelix albofaciata,'1906-06-08,United States of America,Colorado,Lyons,"Lyons, Colorado"
JHFN1-50-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus deformis,Inoceramus deformis,'1906-06-08,United States of America,Colorado,Little Thompson Creek,Little Thompson Creek
JHFN1-50-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus,Inoceramus,'1906-06-08,United States of America,Colorado,Little Thompson Creek,Little Thompson Creek
